event_type,title,factual_summary,organization_name,program_name,event_date,published_at,source_url,source_type
partnership,Palantir 与赛诺菲合作利用 AI 发现新适应症,赛诺菲利用 Palantir 平台从 1700 万患者、约 2500 特征、7 年病史的 RWE 队列中借 AI 表征识别 patient cluster，仅用 10 周发现 5 个新适应症。Bernard Hamelin：「把所有这些数据整合起来解决问题，价值巨大。」,Sanofi,RWE_Adaptive_Discovery,2024-06-01,2026-08-30,https://mp.weixin.qq.com/s/XNYLebbVMrD42y8kEMzalg,news_article
partnership,Palantir 与 Parexel 合作缩短临床试验申报周期,Parexel 利用 Palantir Foundry 将 PDF/Excel/文本等多样输入摄入集中 Study Ontology，由系列 AI Agent 自动产出申报交付物、表格化数据集、带注释文档与可复现代码，申报材料准备时间从 10-12 周缩短至 3-4 周（缩短 50% 以上）。Dan Ballard：「更快把药物推向市场。」,Parexel,Study_Ontology,2024-09-01,2026-08-30,https://mp.weixin.qq.com/s/XNYLebbVMrD42y8kEMzalg,news_article
partnership,默克 KGaA 与 Palantir 合作推进数据整合与开源,默克 KGaA 2017 年启动 Syntropy 项目为癌症研究机构提供安全数据共享与分析；后与 Palantir 成立 50-50 合资企业 Athinia，用 Foundry 整体分析跨供应链孤立数据；成为首家发布 Foundry 开源代码库的客户,Merck KGaA,Syntropy,2017-01-01,2026-08-30,https://mp.weixin.qq.com/s/XNYLebbVMrD42y8kEMzalg,news_article
partnership,Dewpoint Therapeutics 与 Palantir 共建研发数字孪生,Dewpoint Therapeutics 用 Palantir Foundry 做「研发环境数字孪生」，整合实验数据、已发表文献和数据库作为集中式知识库，把实验结果语境化、优先排序方向，辅助化合物/靶点可行性决策。CEO Ameet Nathwani：「把整个实验室连接到企业级。」,Dewpoint Therapeutics,R&D_Digital_Twin,2023-06-01,2026-08-30,https://mp.weixin.qq.com/s/XNYLebbVMrD42y8kEMzalg,news_article
publication,Palantir 本体层在大型药企商业运营中的应用,Palantir Ontology 用于客户分群与下一最优活动（NBA）识别：用 Ontology 识别 cohort，非技术用户自然语言验证分群；LLM 挖掘非结构化数据识别推广活动相关客户；销售 Copilot 用完整互动历史生成下次通话要点。体现本体层+Agent+人机协同贯穿研发—商业化全价值链,Palantir Technologies,,2025-01-01,2026-08-30,https://mp.weixin.qq.com/s/XNYLebbVMrD42y8kEMzalg,news_article
clinical_trial_update,MicrobiotiX MP101 completes Phase 1 sentinel cohort for acute Pseudomonas pneumonia,韩国MicrobiotiX宣布其噬菌体药物MP101治疗急性铜绿假单胞菌肺炎的首次人体I期临床试验已完成哨兵队列安全性评估。18名成人患者在标准抗生素基础上单次静脉给予MP101，72小时安全性和耐受性评估未发现阻碍试验继续的安全问题，后续入组已启动。MP101是韩国首个获MFDS批准进入临床的噬菌体治疗药物。,MicrobiotiX,,2026-08-26,2026-08-26,https://www.globenewswire.com/news-release/2026/08/26/3351239/0/en/microbiotix-completes-sentinel-cohort-of-its-first-in-human-clinical-trial-of-mp101-for-pneumonia,press_release
publication,创噬纪发布噬纪家园行业周报第175期,创噬纪发布第175期噬纪家园行业周报，涵盖韩国MicrobiotiX MP101完成I期哨兵队列安全性验证、美国BARDA以3690万美元采购盐野义头孢地尔等行业进展，以及前噬菌体在生物膜中原位制造DNA材料、噬菌体感染宿主三维空间策略、定向进化扩大宿主范围等科研前沿动态。,创噬纪,,2026-08-31,2026-08-31,https://mp.weixin.qq.com/s/i4BTDmY0iTWs3xVbfls8Tg,publication
publication,瑞科盟发布2026年8月噬菌体配型报告,瑞科盟完成山东省36批病料399份样本的病原菌分离与鉴定，成功分离463株病原菌。整体配型成功率达95.03%，其中大肠杆菌配型成功率99%（202株），沙门氏菌96.18%（131株），金黄色葡萄球菌94.29%（105株），产气荚膜梭菌60%（25株）。报告显示现有噬菌体库对流行菌株覆盖效果优异，但需针对新发沙门氏菌血清型扩充菌毒种库。,瑞科盟,,2026-08-31,2026-08-31,https://mp.weixin.qq.com/s/DSJ7z49BFB2TpvDRT_vqcg,publication
funding,BARDA exercises $36.9M option to purchase cefiderocol for drug-resistant infections,美国政府通过BARDA的Project BioShield行使首个采购选择权，以3690万美元采购盐野义制药的抗生素头孢地尔，用于加强对难治性革兰阴性菌感染及高优先级生物威胁的应对能力。双方相关合同初始资金为1.19亿美元，若后续选择权全部推进总金额最高可达4.82亿美元。,SHIONOGI,,2026-08-28,2026-08-28,https://www.shionogi.com/jp/ja/news/2026/08/20260828,news_article
publication,Prophage activation generates functional DNA materials within biofilms,奥胡斯大学研究发现：前噬菌体激活可在不动杆菌生物膜中原位制造功能性DNA材料。该研究揭示了前噬菌体在生物膜中的新角色——不只是溶菌工具，而是结构组分，为合成生物学和生物材料设计提供了新思路。,奥胡斯大学,,2026-08-31,2026-08-31,https://mp.weixin.qq.com/s/i4BTDmY0iTWs3xVbfls8Tg,publication
publication,3D spatial strategy reveals how phages infect hosts,巴斯德研究所利用三维空间策略揭示噬菌体如何克服空间障碍感染宿主。该研究为理解噬菌体-宿主互作的空间动态提供了新视角，有助于优化噬菌体鸡尾酒设计和治疗策略。,巴斯德研究所,,2026-08-31,2026-08-31,https://mp.weixin.qq.com/s/i4BTDmY0iTWs3xVbfls8Tg,publication
publication,Directed evolution expands phage host range against Staphylococcus aureus,蒙彼利埃大学团队通过定向进化成功扩大金黄色葡萄球菌噬菌体的宿主范围，为应对宿主范围狭窄这一噬菌体治疗的核心瓶颈提供了解决方案。,蒙彼利埃大学,,2026-08-31,2026-08-31,https://mp.weixin.qq.com/s/i4BTDmY0iTWs3xVbfls8Tg,publication
